"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","89.894","89.520","89.965","89.475","13.09K","0.27%"
"Dec 30, 2020","89.649","89.868","89.900","89.515","-","-0.30%"
"Dec 29, 2020","89.918","90.160","90.165","89.785","17.25K","-0.40%"
"Dec 28, 2020","90.275","90.260","90.320","89.895","18.46K","0.03%"
"Dec 24, 2020","90.250","90.185","90.310","90.075","10.83K","-0.10%"
"Dec 23, 2020","90.340","90.535","90.580","90.050","27.55K","-0.23%"
"Dec 22, 2020","90.546","90.100","90.620","89.950","21.87K","0.66%"
"Dec 21, 2020","89.949","90.045","90.950","89.925","39.25K","-0.00%"
"Dec 18, 2020","89.953","89.800","90.055","89.755","17.93K","0.24%"
"Dec 17, 2020","89.741","90.165","90.180","89.640","29.48K","-0.68%"
"Dec 16, 2020","90.359","90.435","90.635","90.045","28.28K","-0.06%"
"Dec 15, 2020","90.409","90.595","90.780","90.345","22.41K","-0.35%"
"Dec 14, 2020","90.731","90.780","90.900","90.455","0.53K","-0.26%"
"Dec 11, 2020","90.970","90.750","91.050","90.630","11.62K","0.17%"
"Dec 10, 2020","90.820","91.065","91.155","90.655","20.89K","-0.29%"
"Dec 09, 2020","91.083","90.905","91.205","90.690","26.09K","0.13%"
"Dec 08, 2020","90.968","90.915","91.020","90.745","23.12K","0.20%"
"Dec 07, 2020","90.789","90.795","91.240","90.610","35.14K","0.10%"
"Dec 04, 2020","90.694","90.650","90.870","90.470","32.95K","-0.03%"
"Dec 03, 2020","90.718","91.070","91.095","90.505","22.12K","-0.44%"
"Dec 02, 2020","91.115","91.190","91.495","90.980","25.50K","-0.20%"
"Dec 01, 2020","91.297","91.900","91.915","91.140","29.58K","-0.61%"
"Nov 30, 2020","91.858","91.730","92.040","91.490","31.58K","0.06%"
"Nov 27, 2020","91.801","92.000","92.035","91.740","9.92K","-0.18%"
"Nov 26, 2020","91.966","91.950","92.165","91.830","8.18K","0.00%"
"Nov 25, 2020","91.966","92.118","92.252","91.910","-","-0.28%"
"Nov 24, 2020","92.220","92.510","92.555","92.105","23.19K","-0.30%"
"Nov 23, 2020","92.494","92.345","92.795","92.000","35.61K","0.11%"
"Nov 20, 2020","92.395","92.330","92.425","92.185","16.26K","0.12%"
"Nov 19, 2020","92.284","92.505","92.720","92.225","20.05K","-0.03%"
"Nov 18, 2020","92.311","92.440","92.510","92.195","14.66K","-0.09%"
"Nov 17, 2020","92.398","92.485","92.605","92.250","17.59K","-0.25%"
"Nov 16, 2020","92.630","92.715","92.850","92.435","29.49K","-0.13%"
"Nov 13, 2020","92.750","92.960","93.005","92.700","14.30K","-0.22%"
"Nov 12, 2020","92.956","92.970","93.125","92.755","23.31K","-0.07%"
"Nov 11, 2020","93.024","92.730","93.190","92.595","23.55K","0.31%"
"Nov 10, 2020","92.736","92.810","92.965","92.585","22.87K","0.02%"
"Nov 09, 2020","92.715","92.230","92.970","92.120","45.99K","0.53%"
"Nov 06, 2020","92.225","92.740","92.825","92.165","32.88K","-0.31%"
"Nov 05, 2020","92.516","93.400","93.540","92.470","35.45K","-0.96%"
"Nov 04, 2020","93.411","93.660","94.330","93.245","36.54K","-0.16%"
"Nov 03, 2020","93.560","94.035","94.060","93.295","18.24K","-0.62%"
"Nov 02, 2020","94.145","94.095","94.315","93.990","14.75K","0.11%"
"Oct 30, 2020","94.042","93.925","94.105","93.660","18.48K","0.07%"
"Oct 29, 2020","93.977","93.470","94.140","93.355","26.34K","0.61%"
"Oct 28, 2020","93.409","93.110","93.660","93.040","25.86K","0.52%"
"Oct 27, 2020","92.927","93.060","93.130","92.775","13.97K","-0.13%"
"Oct 26, 2020","93.044","92.750","93.110","92.730","14.72K","0.30%"
"Oct 23, 2020","92.765","92.970","93.130","92.645","17.69K","-0.21%"
"Oct 22, 2020","92.964","92.725","92.990","92.610","12.27K","0.39%"
"Oct 21, 2020","92.599","93.035","93.060","92.460","24.27K","-0.49%"
