"Date","Price","Open","High","Low","Vol.","Change %"
"May 01, 2020","99.100","99.130","99.225","98.765","12.23K","0.07%"
"Apr 30, 2020","99.028","99.550","99.800","98.830","26.66K","-0.62%"
"Apr 29, 2020","99.644","99.935","99.955","99.515","10.39K","-0.29%"
"Apr 28, 2020","99.934","100.155","100.295","99.485","13.66K","-0.16%"
"Apr 27, 2020","100.097","100.270","100.370","99.840","11.46K","-0.34%"
"Apr 24, 2020","100.434","100.615","100.975","100.250","11.91K","-0.10%"
"Apr 23, 2020","100.535","100.595","100.850","100.120","22.23K","0.01%"
"Apr 22, 2020","100.528","100.330","100.625","99.990","11.26K","0.15%"
"Apr 21, 2020","100.374","100.055","100.630","100.030","16.31K","0.32%"
"Apr 20, 2020","100.058","99.770","100.185","99.750","13.17K","0.22%"
"Apr 17, 2020","99.836","99.970","100.355","99.660","12.80K","-0.26%"
"Apr 16, 2020","100.100","99.670","100.390","99.640","13.51K","0.62%"
"Apr 15, 2020","99.486","98.820","100.060","98.820","15.57K","0.61%"
"Apr 14, 2020","98.885","99.380","99.435","98.815","11.13K","-0.45%"
"Apr 13, 2020","99.336","99.495","99.640","99.110","9.03K","-0.17%"
"Apr 09, 2020","99.504","100.200","100.345","99.310","16.15K","-0.66%"
"Apr 08, 2020","100.170","99.980","100.510","99.950","11.10K","0.26%"
"Apr 07, 2020","99.914","100.830","100.830","99.715","15.56K","-0.83%"
"Apr 06, 2020","100.755","100.865","101.030","100.535","11.18K","0.08%"
"Apr 03, 2020","100.677","100.305","100.965","100.240","10.32K","0.40%"
"Apr 02, 2020","100.271","99.625","100.500","99.445","12.72K","0.52%"
"Apr 01, 2020","99.753","99.025","99.915","98.955","12.13K","0.67%"
"Mar 31, 2020","99.092","99.285","100.125","98.875","18.58K","-0.19%"
"Mar 30, 2020","99.281","98.430","99.445","98.395","11.21K","0.76%"
"Mar 27, 2020","98.537","99.430","100.020","98.345","15.81K","-0.92%"
"Mar 26, 2020","99.453","100.970","101.080","99.365","15.00K","-1.53%"
"Mar 25, 2020","100.997","101.865","102.110","100.835","13.89K","-1.22%"
"Mar 24, 2020","102.247","102.830","102.915","101.555","20.69K","-0.96%"
"Mar 23, 2020","103.240","103.150","103.960","102.300","21.53K","-0.25%"
"Mar 20, 2020","103.502","103.780","103.825","101.905","23.16K","-0.10%"
"Mar 19, 2020","103.605","101.130","103.700","101.045","34.70K","2.03%"
"Mar 18, 2020","101.543","99.695","102.040","99.385","26.16K","1.74%"
"Mar 17, 2020","99.804","98.225","100.075","98.105","26.90K","1.59%"
"Mar 16, 2020","98.240","97.985","98.470","97.555","0.13K","-0.53%"
"Mar 13, 2020","98.764","97.495","98.845","97.335","17.20K","1.33%"
"Mar 12, 2020","97.464","96.620","98.335","96.055","44.99K","1.01%"
"Mar 11, 2020","96.492","96.285","96.610","95.900","37.23K","0.11%"
"Mar 10, 2020","96.389","95.375","96.580","95.180","64.64K","1.60%"
"Mar 09, 2020","94.870","95.720","95.780","94.610","102.13K","-1.11%"
"Mar 06, 2020","95.934","96.645","96.655","95.685","42.51K","-0.88%"
"Mar 05, 2020","96.790","97.345","97.410","96.490","24.40K","-0.53%"
"Mar 04, 2020","97.307","97.145","97.565","97.070","22.20K","0.19%"
"Mar 03, 2020","97.122","97.520","97.655","96.875","51.42K","-0.20%"
"Mar 02, 2020","97.319","97.985","98.045","97.135","45.68K","-0.78%"
"Feb 28, 2020","98.081","98.390","98.615","97.910","41.69K","-0.39%"
"Feb 27, 2020","98.461","98.965","98.995","98.295","28.47K","-0.48%"
"Feb 26, 2020","98.938","98.990","99.200","98.850","18.10K","0.04%"
"Feb 25, 2020","98.901","99.260","99.320","98.810","22.34K","-0.39%"
"Feb 24, 2020","99.284","99.380","99.570","99.030","23.27K","0.10%"
"Feb 21, 2020","99.188","99.765","99.790","99.140","23.26K","-0.59%"
"Feb 20, 2020","99.776","99.470","99.815","99.445","18.07K","0.18%"
